C1,pilot,safety,aviation,jet,spare_part,police_force,Civil_Aeronautics,company,flight,aircraft,standard,investigation,fly,aerorepublica,Meridiana,Authority,airline_safety,association,investigator,certification,maintenance,transport,gip,Belgium,mechanic,aeronautics,guideline,charge,check,concern,suspect,airport,ground,duty,air,question,director,counterfeit,Liu_Jianfeng,Van_Caelenberg,certificate,Tonga,pausania,Air_China,tempio,BCA,document,carrier,engine,
C2,drug,police,border,ONCB,pill,Thai,tablet,Thailand,dealer,district,laboratory,production,Burma,kg,raid,ban_Ho_Mong,Burmese,kilogram_amphetamine,Chiang_Rai,Khun_Sa,Mae_Hong_Son,estimate,smuggling,suspect,Taiwan,mainland,Veerakorn,Bunpot,Ostroleka,Laos,province,source,Taipei,crackdown,manufacturer,Chunan,Yeh,Warsaw,officer,authority,equipment,sell,Chiang_Mai,abuse,crack,mafia,bmk,stamp,ho,
C3,Navy,US,China,plane,Hawaii,release,spy_plane,incident,ribbon,captive,hold,United_States,public,April,captivity,celebration,consequence,pilot,snake,United_States_China,hostage,Beijing,member,Hainan_Island,regret,tree,jet,round,standoff,senator,tie,fighter,tour,American,crisis,opinion,landing,surveillance,Bush_administration,wait,relation,issue,home,territory,Taiwan,end,administration,friend,half,
C4,Graefe_zu_Baringdorf,hoof_mouth_disease,Glavany,France,cap,animal,Le_Figaro,drug_vaccine,agriculture,sheep,crisis,farmer,health,import,BSE,agriculture_minister,slaughter,Europe,cattle,Mayenne,Negev,Galilee,European_Parliament,Germany,village,outbreak,hoof_mouth,Abbas,vigilance,pa,Shimshoni,Abbud,quality,area,case,market,spread,UK,society,export,vaccine,Berlin,Chirac,livestock,control,measure,president,country,mouth_disease,
C5,resolution,Tehran,IAEA,Rafsanjani,board,EU,uranium_conversion,activity,agency,Isfahan,nuclear_program,referral,nuclear_fuel,diplomat,nuclear_work,urge_Iran,nuclear_weapon,enrichment,nuclear_watchdog,uranium,sanction,decision,halt,Libya,facility,serious_concern,International_Atomic_Energy_Agency_IAEA,negotiation,nuclear_programme,Iraq,Vienna,nuclear_activity,Security_Council,Thursday,Britain,agreement,Iran_resumption,talk,country,Rezaei,UN,suspension,analyst,France_Germany,UN_Security_Council,diplomacy,power,yesterday,accusation,
C6,Japan,South_Korea,unification,missile,Korean_peninsula,dialogue,administration,Korea,defense,US,view,relation,China,United_States,alliance,capability,talk,policy,concern,issue,attack,situation,security,collaboration,new_guideline,improvement_relation,general_secretary,unification_plan,system,Japan_United_States,question,connection,development,response,Russia,exercise,role,unification_policy,security_treaty,stance,position,ballistic_missile,debate,koreans,significance,region,change,place,case,
C7,bank,loan,mortgage,rate,mortgage_rate,cent,percent,Asahi_Bank,corporation,summer_house,Prodi,property,minister,pay,mortgage_loan,condominium,estate,lending,premier,policy,housing,price,Japan,house,raise,amount,cut,Hongkong_Bank,Cassaro,fsa,Weekly_Post,subsidy,purchase,payment,customer,government,cash,Bank_of_Italy,discount,credit,unit,affairs,transaction,Abbey_National,Abbey,Tancredi_Bianchi,twp,FSA,Marzano,
C8,China,research,sea,resource,red_tide,development,technology,fish,sar,pollution,sea_area,mankind,area,ocean_environment,treaty,Bohai_Sea,ship,coastal_belt,nation,industry,application,ocean_application,ocean_wave,water,continental_shelf,imaging,law,environment,spectrum,high_technology,datum,development_ocean,East_China_Sea,fishing_industry,internal_wave,nations,inversion,world,farm,coast,problem,year,ocean_pollution,scientist,surface,ice,mechanism,oil_pollution,image,
C9,Interior_Ministry,Grichanin,Baraq,religion,cult,youth,letter,mufti,satanists,parent,correspondent,Cairo,Egypt,ritual,MENA,Satanic_Cult,member,activity,concept,child,group,Moscow,department,blame,draw,fight,February,morning,stress,investigation,death,note,sign,bullet,bust,faith,harm,slogan,sacrifice,index,mayor,blasts,hate,Egyptians,step,fall,head,wall,class,
C10,mph,forecaster,hurricane,tropical_storm,storm,Bermuda,sustained_wind,North_Carolina,season,wind,mile,move,Irene_top,Sunday,East_Coast,MIAMI,hurricane_strength,Irene_center,June_1_end,threat_land,center,strength,kilometer,forecast,Atlantic_hurricane_season,Miami,next_five_days,Friday,coastline,kph,meteorologist,mile_Bermuda,Massachusetts,South_Carolina,hurricane_specialist,break_record,forecaster_National_Hurricane_Center,AP,name_storm,Carolinas,approach,reach,irene,coast,curve,today,National_Hurricane_Center,sea,New_Jersey,
C11,eruption,Chechnya,kilometre,Montserrat,area,cone,shuttle,lava,Kamchatka,evacuee,km2,frontier,earth,radar,formation,activity,altitude,multiband,imaging,Yandarbiyev,Maskhadov,Karymski,shelter,alcohol,Khachalayev,Kronotskaya_Sopka,Kremlin,Russia,guard,km,rock,isotope,church,Western_Kunlun_Mountains,endeavor,livestock,people,system,remote_sense,thing,surface,meter,phenomenon,block,register,datum,field,war,na2o,
